code,description,last_updated
100000-9,Health informatics pioneer and the father of LOINC,2025-09-11 21:14:16
100001-7,Health informatics pioneer and cofounder of LOINC,2025-09-11 21:14:16
100002-5,Specimen care is maintained,2025-09-11 21:14:16
100003-3,Team communication is maintained throughout care,2025-09-11 21:14:16
100004-1,Demonstrates knowledge of the expected psychosocial responses to the procedure,2025-09-11 21:14:16
100005-8,Demonstrates knowledge of nutritional management related to the procedure,2025-09-11 21:14:16
100006-6,Demonstrates knowledge of medication management,2025-09-11 21:14:16
100007-4,Demonstrates knowledge of pain management,2025-09-11 21:14:16
10000-8,R wave duration.lead AVR,2025-09-11 21:14:16
100008-2,Demonstrates knowledge of wound management,2025-09-11 21:14:16
100009-0,Demonstrates knowledge of the procedure and expected results,2025-09-11 21:14:16
100010-8,"No injury related to procedure equipment, medical supplies, or instrumentation",2025-09-11 21:14:16
100011-6,No injury related to an electrical source,2025-09-11 21:14:16
100012-4,Participates in decisions affecting the patient's plan of care,2025-09-11 21:14:16
100013-2,Participates in the discharge process,2025-09-11 21:14:16
100014-0,Psychosocial health is maintained at or improved from baseline,2025-09-11 21:14:16
100015-7,No injury related to positioning due to care or procedure,2025-09-11 21:14:16
10001-6,R wave duration.lead I,2025-09-11 21:14:16
100016-5,No injury related to a laser source,2025-09-11 21:14:16
100017-3,Perioperative nursing data set outcomes panel,2025-09-11 21:14:16
100018-1,Note,2025-09-11 21:14:16
100019-9,ALK gene targeted mutation analysis,2025-09-11 21:14:16
100020-7,GNA11 gene targeted mutation analysis,2025-09-11 21:14:16
100021-5,GNAQ gene targeted mutation analysis,2025-09-11 21:14:16
100022-3,IDH1 gene targeted mutation analysis,2025-09-11 21:14:16
100023-1,IDH2 gene targeted mutation analysis,2025-09-11 21:14:16
10002-4,R wave duration.lead II,2025-09-11 21:14:16
100024-9,SETBP1 gene targeted mutation analysis,2025-09-11 21:14:16
100025-6,SRSF2 gene targeted mutation analysis,2025-09-11 21:14:16
100026-4,MET gene targeted mutation analysis,2025-09-11 21:14:16
100027-2,SMAD4 gene targeted mutation analysis,2025-09-11 21:14:16
100028-0,FBXW7 gene targeted mutation analysis,2025-09-11 21:14:16
100029-8,Cancer related multigene analysis,2025-09-11 21:14:16
100030-6,Axis I: Temporal aspects score,2025-09-11 21:14:16
100031-4,Axis II: Spatial aspects score,2025-09-11 21:14:16
10003-2,R wave duration.lead III,2025-09-11 21:14:16
100032-2,Axis III: Drug taking behavior score,2025-09-11 21:14:16
100033-0,Axis IV: Utilization of the health care system score,2025-09-11 21:14:16
100034-8,Provider of automated external defibrillator use,2025-09-11 21:14:16
100035-5,Exam finding location,2025-09-11 21:14:16
100036-3,Exam finding location,2025-09-11 21:14:16
100037-1,Patient contact disposition,2025-09-11 21:14:16
100038-9,Patient evaluation disposition,2025-09-11 21:14:16
100039-7,Crew disposition for patient care,2025-09-11 21:14:16
10004-0,R wave duration.lead V1,2025-09-11 21:14:16
100040-5,Patient transport disposition,2025-09-11 21:14:16
100041-3,Aminoglycoside,2025-09-11 21:14:16
100042-1,Atovaquone,2025-09-11 21:14:16
100043-9,Azithromycin+Ethambutol,2025-09-11 21:14:16
100044-7,Cefcapene,2025-09-11 21:14:16
100045-4,Cefozopran,2025-09-11 21:14:16
100046-2,Cefquinome,2025-09-11 21:14:16
100047-0,Cefteram,2025-09-11 21:14:16
100048-8,Clarithromycin+Ethambutol,2025-09-11 21:14:16
100049-6,Eravacycline,2025-09-11 21:14:16
100050-4,Erythromycin+Ethambutol,2025-09-11 21:14:16
100051-2,Ethambutol+rifAMPin,2025-09-11 21:14:16
100052-0,Flomoxef,2025-09-11 21:14:16
100053-8,Fluoroquinolone,2025-09-11 21:14:16
100054-6,Gamithromycin,2025-09-11 21:14:16
100055-3,Optochin,2025-09-11 21:14:16
100056-1,Panipenem,2025-09-11 21:14:16
10005-7,R wave duration.lead V2,2025-09-11 21:14:16
100057-9,Prothionamide,2025-09-11 21:14:16
100058-7,Prulifloxacin,2025-09-11 21:14:16
