code,description,last_updated
126813005,Neoplasm of anterior aspect of epiglottis,2025-09-11 21:22:33
126814004,Neoplasm of junctional region of epiglottis,2025-09-11 21:22:33
126815003,Neoplasm of lateral wall of oropharynx,2025-09-11 21:22:33
126816002,Neoplasm of posterior wall of oropharynx,2025-09-11 21:22:33
126817006,Neoplasm of esophagus,2025-09-11 21:22:33
126818001,Neoplasm of cervical esophagus,2025-09-11 21:22:33
126819009,Neoplasm of thoracic esophagus,2025-09-11 21:22:33
126820003,Neoplasm of abdominal esophagus,2025-09-11 21:22:33
126822006,Neoplasm of middle third of esophagus,2025-09-11 21:22:33
126823001,Neoplasm of lower third of esophagus,2025-09-11 21:22:33
126824007,Neoplasm of stomach,2025-09-11 21:22:33
126825008,Neoplasm of cardia of stomach,2025-09-11 21:22:33
126826009,Neoplasm of fundus of stomach,2025-09-11 21:22:33
126827000,Neoplasm of body of stomach,2025-09-11 21:22:33
126828005,Neoplasm of lesser curvature of stomach,2025-09-11 21:22:33
126829002,Neoplasm of greater curvature of stomach,2025-09-11 21:22:33
126830007,Neoplasm of pyloric antrum,2025-09-11 21:22:33
126831006,Neoplasm of pylorus,2025-09-11 21:22:33
126832004,Neoplasm of small intestine,2025-09-11 21:22:33
126833009,Neoplasm of duodenum,2025-09-11 21:22:33
126834003,Neoplasm of jejunum,2025-09-11 21:22:33
126835002,Neoplasm of ileum,2025-09-11 21:22:33
126836001,Neoplasm of Meckel's diverticulum,2025-09-11 21:22:33
126837005,Neoplasm of large intestine,2025-09-11 21:22:33
126838000,Neoplasm of colon,2025-09-11 21:22:33
126839008,Neoplasm of cecum,2025-09-11 21:22:33
126840005,Neoplasm of ascending colon,2025-09-11 21:22:33
126841009,Neoplasm of hepatic flexure of colon,2025-09-11 21:22:33
126842002,Neoplasm of transverse colon,2025-09-11 21:22:33
126843007,Neoplasm of splenic flexure of colon,2025-09-11 21:22:33
126844001,Neoplasm of descending colon,2025-09-11 21:22:33
126845000,Neoplasm of sigmoid colon,2025-09-11 21:22:33
126846004,Neoplasm of appendix,2025-09-11 21:22:33
126847008,Neoplasm of rectum,2025-09-11 21:22:33
126848003,Neoplasm of rectosigmoid junction,2025-09-11 21:22:33
126849006,Neoplasm of anus,2025-09-11 21:22:33
126850006,Neoplasm of anal canal,2025-09-11 21:22:33
126851005,Neoplasm of liver,2025-09-11 21:22:33
126852003,Neoplasm of intrahepatic bile ducts,2025-09-11 21:22:33
126853008,Neoplasm of biliary tract,2025-09-11 21:22:33
126854002,Neoplasm of gallbladder,2025-09-11 21:22:33
126855001,Neoplasm of extrahepatic bile ducts,2025-09-11 21:22:33
126856000,Neoplasm of cystic duct,2025-09-11 21:22:33
126857009,Neoplasm of common bile duct,2025-09-11 21:22:33
126858004,Neoplasm of ampulla of Vater,2025-09-11 21:22:33
126859007,Neoplasm of pancreas,2025-09-11 21:22:33
126860002,Neoplasm of head of pancreas,2025-09-11 21:22:33
126861003,Neoplasm of body of pancreas,2025-09-11 21:22:33
126862005,Neoplasm of tail of pancreas,2025-09-11 21:22:33
126863000,Neoplasm of pancreatic duct,2025-09-11 21:22:33
126864006,Neoplasm of islets of Langerhans,2025-09-11 21:22:33
126865007,Neoplasm of the peritoneum,2025-09-11 21:22:33
126866008,Neoplasm of parietal peritoneum,2025-09-11 21:22:33
126867004,Neoplasm of pelvic peritoneum,2025-09-11 21:22:33
126868009,Neoplasm of rectouterine pouch,2025-09-11 21:22:33
126869001,Neoplasm of the mesentery,2025-09-11 21:22:33
126870000,Neoplasm of the mesocolon,2025-09-11 21:22:33
126871001,Neoplasm of the omentum,2025-09-11 21:22:33
126872008,Neoplasm of the retroperitoneum,2025-09-11 21:22:33
126873003,Neoplasm of periadrenal tissue,2025-09-11 21:22:33
126874009,Neoplasm of perirenal tissue,2025-09-11 21:22:33
126875005,Neoplasm of retrocecal tissue,2025-09-11 21:22:33
126876006,Neoplasm of mesothelial tissue of peritoneum,2025-09-11 21:22:33
126877002,Disorder of glucose metabolism,2025-09-11 21:22:33
126878007,Persistent preputial frenulum,2025-09-11 21:22:33
126879004,Neoplasm of urinary system,2025-09-11 21:22:33
126880001,Neoplasm of kidney,2025-09-11 21:22:33
