code,description,last_updated
126813005,Neoplasm of anterior aspect of epiglottis,2025-09-12 21:30:14
126814004,Neoplasm of junctional region of epiglottis,2025-09-12 21:30:14
126815003,Neoplasm of lateral wall of oropharynx,2025-09-12 21:30:14
126816002,Neoplasm of posterior wall of oropharynx,2025-09-12 21:30:14
126817006,Neoplasm of esophagus,2025-09-12 21:30:14
126818001,Neoplasm of cervical esophagus,2025-09-12 21:30:14
126819009,Neoplasm of thoracic esophagus,2025-09-12 21:30:14
126820003,Neoplasm of abdominal esophagus,2025-09-12 21:30:14
126822006,Neoplasm of middle third of esophagus,2025-09-12 21:30:14
126823001,Neoplasm of lower third of esophagus,2025-09-12 21:30:14
126824007,Neoplasm of stomach,2025-09-12 21:30:14
126825008,Neoplasm of cardia of stomach,2025-09-12 21:30:14
126826009,Neoplasm of fundus of stomach,2025-09-12 21:30:14
126827000,Neoplasm of body of stomach,2025-09-12 21:30:14
126828005,Neoplasm of lesser curvature of stomach,2025-09-12 21:30:14
126829002,Neoplasm of greater curvature of stomach,2025-09-12 21:30:14
126830007,Neoplasm of pyloric antrum,2025-09-12 21:30:14
126831006,Neoplasm of pylorus,2025-09-12 21:30:14
126832004,Neoplasm of small intestine,2025-09-12 21:30:14
126833009,Neoplasm of duodenum,2025-09-12 21:30:14
126834003,Neoplasm of jejunum,2025-09-12 21:30:14
126835002,Neoplasm of ileum,2025-09-12 21:30:14
126836001,Neoplasm of Meckel's diverticulum,2025-09-12 21:30:14
126837005,Neoplasm of large intestine,2025-09-12 21:30:14
126838000,Neoplasm of colon,2025-09-12 21:30:14
126839008,Neoplasm of cecum,2025-09-12 21:30:14
126840005,Neoplasm of ascending colon,2025-09-12 21:30:14
126841009,Neoplasm of hepatic flexure of colon,2025-09-12 21:30:14
126842002,Neoplasm of transverse colon,2025-09-12 21:30:14
126843007,Neoplasm of splenic flexure of colon,2025-09-12 21:30:14
126844001,Neoplasm of descending colon,2025-09-12 21:30:14
126845000,Neoplasm of sigmoid colon,2025-09-12 21:30:14
126846004,Neoplasm of appendix,2025-09-12 21:30:14
126847008,Neoplasm of rectum,2025-09-12 21:30:14
126848003,Neoplasm of rectosigmoid junction,2025-09-12 21:30:14
126849006,Neoplasm of anus,2025-09-12 21:30:14
126850006,Neoplasm of anal canal,2025-09-12 21:30:14
126851005,Neoplasm of liver,2025-09-12 21:30:14
126852003,Neoplasm of intrahepatic bile ducts,2025-09-12 21:30:14
126853008,Neoplasm of biliary tract,2025-09-12 21:30:14
126854002,Neoplasm of gallbladder,2025-09-12 21:30:14
126855001,Neoplasm of extrahepatic bile ducts,2025-09-12 21:30:14
126856000,Neoplasm of cystic duct,2025-09-12 21:30:14
126857009,Neoplasm of common bile duct,2025-09-12 21:30:14
126858004,Neoplasm of ampulla of Vater,2025-09-12 21:30:14
126859007,Neoplasm of pancreas,2025-09-12 21:30:14
126860002,Neoplasm of head of pancreas,2025-09-12 21:30:14
126861003,Neoplasm of body of pancreas,2025-09-12 21:30:14
126862005,Neoplasm of tail of pancreas,2025-09-12 21:30:14
126863000,Neoplasm of pancreatic duct,2025-09-12 21:30:14
126864006,Neoplasm of islets of Langerhans,2025-09-12 21:30:14
126865007,Neoplasm of the peritoneum,2025-09-12 21:30:14
126866008,Neoplasm of parietal peritoneum,2025-09-12 21:30:14
126867004,Neoplasm of pelvic peritoneum,2025-09-12 21:30:14
126868009,Neoplasm of rectouterine pouch,2025-09-12 21:30:14
126869001,Neoplasm of the mesentery,2025-09-12 21:30:14
126870000,Neoplasm of the mesocolon,2025-09-12 21:30:14
126871001,Neoplasm of the omentum,2025-09-12 21:30:14
126872008,Neoplasm of the retroperitoneum,2025-09-12 21:30:14
126873003,Neoplasm of periadrenal tissue,2025-09-12 21:30:14
126874009,Neoplasm of perirenal tissue,2025-09-12 21:30:14
126875005,Neoplasm of retrocecal tissue,2025-09-12 21:30:14
126876006,Neoplasm of mesothelial tissue of peritoneum,2025-09-12 21:30:14
126877002,Disorder of glucose metabolism,2025-09-12 21:30:14
126878007,Persistent preputial frenulum,2025-09-12 21:30:14
126879004,Neoplasm of urinary system,2025-09-12 21:30:14
126880001,Neoplasm of kidney,2025-09-12 21:30:14
126881002,Neoplasm of renal pelvis,2025-09-12 21:30:14
126882009,Neoplasm of ureter,2025-09-12 21:30:14
126883004,Neoplasm of urethra,2025-09-12 21:30:14
126884005,Neoplasm of paraurethral glands,2025-09-12 21:30:14
126885006,Neoplasm of bladder,2025-09-12 21:30:14
126886007,Neoplasm of trigone of urinary bladder,2025-09-12 21:30:14
126887003,Neoplasm of apex of urinary bladder,2025-09-12 21:30:14
126888008,Neoplasm of lateral wall of urinary bladder,2025-09-12 21:30:14
126889000,Neoplasm of anterior wall of urinary bladder,2025-09-12 21:30:14
126890009,Neoplasm of posterior wall of urinary bladder,2025-09-12 21:30:14
126891008,Neoplasm of urinary bladder neck,2025-09-12 21:30:14
126892001,Neoplasm of ureteric orifice of urinary bladder,2025-09-12 21:30:14
126893006,Neoplasm of urachus,2025-09-12 21:30:14
126895004,Neoplasm of male genital organ,2025-09-12 21:30:14
126896003,Neoplasm of penis,2025-09-12 21:30:14
126897007,Neoplasm of prepuce,2025-09-12 21:30:14
126898002,Neoplasm of glans penis,2025-09-12 21:30:14
126899005,Neoplasm of body of penis,2025-09-12 21:30:14
126900000,Neoplasm of testis,2025-09-12 21:30:14
126901001,Neoplasm of undescended testis,2025-09-12 21:30:14
126902008,Neoplasm of epididymis,2025-09-12 21:30:14
126903003,Neoplasm of vas deferens,2025-09-12 21:30:14
126904009,Neoplasm of spermatic cord,2025-09-12 21:30:14
126905005,Neoplasm of scrotum,2025-09-12 21:30:14
126906006,Neoplasm of prostate,2025-09-12 21:30:14
126907002,Neoplasm of female genital organ,2025-09-12 21:30:14
126908007,Neoplasm of uterus,2025-09-12 21:30:14
126909004,Neoplasm of body of uterus,2025-09-12 21:30:14
126910009,Neoplasm of myometrium,2025-09-12 21:30:14
126911008,Neoplasm of isthmus of uterus,2025-09-12 21:30:14
126912001,Neoplasm of endocervix,2025-09-12 21:30:14
126913006,Neoplasm of exocervix,2025-09-12 21:30:14
126914000,Neoplasm of fundus uteri,2025-09-12 21:30:14
